SP,LogMass,LogLength,LogDiameter
1,0.124504225,2.371067862,0.494154594
1,0.907088745,2.431363764,0.79518459
1,1.045987606,2.556302501,0.882239848
1,2.388988785,3.093421685,1.307709923
1,2.652439748,3.033423755,1.312177356
1,2.745777218,3.029383778,1.563836919
1,2.817499262,3.245512668,1.584896344
1,2.926856709,3.130333768,1.556784782
1,2.951823035,3.075546961,1.680108787
1,3.202760687,3.120573931,1.648213595
1,3.202760687,3.195899652,1.676236217
1,3.383216812,3.184691431,1.958157587
1,3.446381812,3.033423755,1.715209195
1,3.449293225,3.285557309,1.621072371
1,3.469085299,3.23299611,1.740362689
1,3.878904622,3.278753601,2.034728698
1,4.000723236,3.252853031,1.959899588
1,4.498701023,3.534026106,2.356025857
2,1.560504415,2.113943352,1.113943352
2,1.702861171,2.041392685,1.176091259
2,1.708845638,2.204119983,1.397940009
2,1.825101412,2.342422681,1.322219295
2,1.863025296,2.491361694,1.491361694
2,2.358601016,2.662757832,1.556302501
2,2.616895426,2.698970004,1.643452676
2,2.932930143,2.86332286,1.763427994
2,3.002986341,2.86332286,1.819543936
2,3.017369966,2.799340549,1.69019608
2,3.309355377,2.944482672,2.278753601
2,3.475853237,2.892094603,1.755874856
2,3.507592761,2.991226076,1.982271233
2,3.553995067,3.045322979,2.285557309
2,3.668699595,3.049218023,2.096910013
2,4.086418021,3.075546961,2.155336037
2,4.305629755,3.201397124,2.230448921
2,4.316581941,3.198657087,2.130333768
3,-1.301029996,1.622317661,0.008600172
3,-0.455931956,1.763427994,0.555094449
3,-0.185752404,1.880813592,0.447932866
3,0.251151343,2.176091259,0.594944737
3,0.638489257,2.380211242,0.786751422
3,0.658011397,2.250420002,0.737987326
3,0.728353782,2.397940009,0.731991449
3,0.792041311,2.380211242,0.651762447
3,0.937166704,2.255272505,0.854002233
3,1.095169351,2.322219295,1.081167215
3,1.290591043,2.096910013,1.04060234
3,1.328379603,2.491361694,0.954242509
3,1.428134794,2.447158031,1.344490519
3,1.435366507,2.462397998,1.097777735
3,1.505149978,2.477121255,1.179695383
3,1.516535374,2.531478917,1.115277591
3,1.613841822,2.477121255,1.386677284
3,1.804139432,2.556302501,1.205745541
3,1.805500858,2.51851394,1.37821615
3,1.833784375,2.672097858,1.137670537
3,1.848804701,2.633468456,1.254427222
3,1.922725458,2.612783857,1.135768515
3,2.032618761,2.602059991,1.340146551
3,2.130333768,2.72427587,1.42894429
3,2.216693599,2.72427587,1.516138577
3,2.256837966,2.579783597,1.16479882
3,2.551571974,2.785329835,1.051345499
3,2.602494069,2.748188027,1.181986424
4,-0.42136079,1.86923172,0.159867847
4,-0.110138279,1.826074803,0.385606274
4,-0.022276395,1.929418926,0.371990911
4,0.090610708,1.892094603,0.561101384
4,0.26927939,1.991226076,0.350248018
4,0.288025535,2.041392685,0.403977964
4,0.4827307,1.908485019,0.596047008
4,0.540829814,2.086359831,0.432167269
4,0.636387586,2.012837225,0.664171705
4,0.663606708,2.049218023,0.581494542
4,0.698013504,2.045322979,0.556905269
4,0.740046724,2.113943352,0.476396827
4,0.751279104,2.096910013,0.716003344
4,1.001993174,1.954242509,0.802089258
4,1.109004508,2.152288344,0.707995746
4,1.181843588,2.190331698,0.711385379
4,1.292388998,2.176091259,0.761927838
4,1.424179014,2.250420002,0.837903945
4,1.714472265,2.204119983,0.919601024
4,1.808548551,2.301029996,0.9733588
4,1.902100841,2.311753861,0.895146189
5,-0.366531544,2.243038049,0.26599637
5,0.306210508,2.419955748,0.828015064
5,0.558708571,2.58546073,0.680335513
5,1.739967697,2.681241237,1.343703932
5,2.108565024,2.934498451,1.301029996
5,2.147367108,2.973127854,1.380211242
5,2.195622944,2.792391689,1.603360924
5,2.456973014,2.903089987,1.380211242
5,2.704922291,2.913813852,1.50623436
5,2.879038505,2.934498451,1.544068044
5,2.903089987,3.021189299,1.681241237
5,2.929418926,3.252853031,1.544068044
5,3,2.986771734,1.716003344
5,3.017369787,3.071882007,1.812913357
5,3.139879086,3.021189299,1.989004616
5,3.204119983,3.130333768,1.662757832
5,3.224231516,3.06069784,2.361727836
5,3.302525733,3.193124598,1.913813852
5,3.455632884,3.235528447,1.954242509
5,3.462845689,2.954242509,2.238046103
5,3.668699595,3.267171728,2.025305865
5,3.681749698,3.301029996,1.977723605
5,3.72784662,3.176091259,2.079181246
6,-0.346787486,2.041392685,0.717254313
6,0.161368002,1.903089987,0.474944335
6,0.486713776,1.857332496,0.678062905
6,0.537819095,2.230448921,0.698100546
6,0.723947976,2.484299839,0.648360011
6,0.776773802,2.041392685,0.748575617
6,0.900367129,1.954242509,0.711385379
6,0.926856709,2.431363764,0.700703717
6,0.975431809,2.33243846,0.764176132
6,1.039414119,2.342422681,0.85308953
6,1.112269768,2.342422681,0.802089258
6,1.227115083,2.477121255,0.887898488
6,1.341434525,2.389166084,0.975201962
6,1.351216345,2.51851394,0.8683505
6,1.388278863,2.431363764,1.067256889
6,1.43055877,2.176091259,0.841984805
6,1.43055877,2.45484486,1.063333359
6,1.461648568,2.591064607,0.967781908
6,1.685293781,2.602059991,0.986099625
6,1.689752696,2.544068044,1.127752516
6,1.854002233,2.662757832,0.981365509
6,2.050379756,2.62324929,1.620188126
6,2.18582536,2.69019608,1.407475885
7,0.161368002,1.864451747,0.717670503
7,0.498310554,1.740362689,0.881099218
7,0.736396502,1.999174056,0.883093359
7,0.752048448,1.84509804,1.146128036
7,0.795880017,1.904931827,0.8683505
7,0.860338007,1.929418926,0.959756673
7,1.002166062,2,0.981818607
7,1.188928484,2.079181246,1.076822423
7,1.345373731,2.079181246,1.27485032
7,1.349277527,2.041392685,1.146128036
7,1.371990911,2.176091259,1.301029996
7,1.395326393,2.079181246,1.090963077
7,1.507180977,2.243038049,1.224144432
7,1.592731766,2.161368002,1.283074975
7,1.656577291,2.255272505,1.201943063
7,1.674401813,2.230448921,1.310587115
7,1.797267541,2.311753861,1.380211242
7,1.843544212,2.380211242,1.24723655
7,1.918554531,2.311753861,1.355259906
7,1.941262909,2.380211242,1.34684177
7,1.974511693,2.380211242,1.263399331
7,1.985875357,2.431363764,1.643452676
7,1.996730515,2.397940009,1.477048866
7,2.13289977,2.447158031,1.544068044
7,2.247727833,2.51851394,1.498310554
7,2.374198258,2.591064607,1.485011215
7,2.416973173,2.51851394,1.585178629
7,2.485437481,2.62324929,1.662757832
7,2.57863921,2.755874856,1.61898892
7,2.582517884,2.619093331,1.671681845
7,3.01911629,2.944482672,1.661623409
7,3.128722284,2.929418926,2
7,3.396199347,2.963787827,1.886857183
7,3.469822016,2.977723605,1.969788537
7,3.57921178,3.113943352,2.019427873
7,3.717670503,3.037426498,2.014667519
7,4.068804087,3.414973348,2.113943352
7,4.414694876,3.596597096,2.385606274
7,4.635886818,3.711807229,2.517195898
8,-0.872895202,1.591064607,0.146128036
8,-0.504455662,1.681241237,0.444044796
8,-0.374687549,1.707570176,0.520483533
8,-0.36552273,1.851258349,0.494850022
8,-0.305394801,1.73239376,0.534660576
8,-0.026872146,1.908485019,0.578065884
8,-0.001304842,2.290034611,0.642958879
8,0.01911629,1.903089987,0.556905269
8,0.140508043,1.991226076,0.613313161
8,0.243038049,2.380211242,0.60368555
8,0.249931757,1.929418926,0.572871602
8,0.265053789,2.041392685,0.63748973
8,0.342620043,2.206825876,0.584896344
8,0.347915187,2.195899652,0.658488381
8,0.414137362,2.342422681,0.679881942
8,0.465977368,2.385606274,0.700270937
8,0.567966907,2.344392274,0.701999475
8,0.694605199,2.491361694,0.890700398
8,0.8162413,2.544068044,0.84135947
8,0.966141733,2.380211242,0.94225615
8,1.268343914,2.579783597,1.098643726
8,1.710963119,2.748188027,1.15896526
8,1.976349979,2.826074803,1.382917135
9,-1.119186408,1.62324929,-0.040958608
9,-1.008773924,2.033423755,0.198657087
9,-0.93930216,2.079181246,0.171726454
9,-0.821023053,2.173186268,0.250420002
9,-0.346787486,2.06069784,0.301029996
9,-0.189767482,2.138302698,0.463146137
9,-0.171984936,2.06069784,0.198657087
9,0.745855195,2.439332694,0.794836458
9,1.176091259,2.574031268,1.042181595
9,1.277609214,2.414973348,0.927626962
9,1.282168778,2.45484486,0.880813592
9,1.669781615,2.759667845,0.98788961
